Time,CPU_All,Total
2020-11-10 19:11:00,0.5319482407324427,0.5319482407324427
2020-11-10 19:12:00,0.4769081838803049,0.4769081838803049
2020-11-10 19:13:00,0.4627185679575643,0.4627185679575643
2020-11-10 19:14:00,0.4212737542351803,0.4212737542351803
2020-11-10 19:15:00,0.38687573990219504,0.38687573990219504
2020-11-10 19:16:00,0.36319695503294586,0.36319695503294586
2020-11-10 19:17:00,0.3433470528342232,0.3433470528342232
2020-11-10 19:18:00,0.3237392204887967,0.3237392204887967
2020-11-10 19:19:00,0.2892728345353338,0.2892728345353338
2020-11-10 19:20:00,0.27274134402606826,0.27274134402606826
2020-11-10 19:21:00,0.2470990106069742,0.2470990106069742
2020-11-10 19:22:00,0.20617546414676668,0.20617546414676668
2020-11-10 19:23:00,0.18726610961818255,0.18726610961818255
2020-11-10 19:24:00,0.16278960685654656,0.16278960685654656
2020-11-10 19:25:00,0.14233062286077172,0.14233062286077172
2020-11-10 19:26:00,0.13412850072583335,0.13412850072583335
2020-11-10 19:27:00,0.11358732624676796,0.11358732624676796
2020-11-10 19:28:00,0.11388321433334415,0.11388321433334415
2020-11-10 19:29:00,0.11067599850161697,0.11067599850161697
2020-11-10 19:30:00,0.10391776107018534,0.10391776107018534
2020-11-10 19:31:00,0.06846320177952944,0.06846320177952944
2020-11-10 19:32:00,0.0663541174316556,0.0663541174316556
2020-11-10 19:33:00,0.06813601968411659,0.06813601968411659
2020-11-10 19:34:00,0.06944661369316839,0.06944661369316839
2020-11-10 19:35:00,0.07002775006897449,0.07002775006897449
2020-11-10 19:36:00,0.0691890531088059,0.0691890531088059
2020-11-10 19:37:00,0.07254912947763067,0.07254912947763067
2020-11-10 19:38:00,0.07824401151226694,0.07824401151226694
2020-11-10 19:39:00,0.08714814340839826,0.08714814340839826
2020-11-10 19:40:00,0.09472255152902594,0.09472255152902594
2020-11-10 19:41:00,0.08990124369062494,0.08990124369062494
2020-11-10 19:42:00,0.10217480978127023,0.10217480978127023
2020-11-10 19:43:00,0.10697403714749157,0.10697403714749157
2020-11-10 19:44:00,0.11660250434271352,0.11660250434271352
2020-11-10 19:45:00,0.13062215747840972,0.13062215747840972
2020-11-10 19:46:00,0.1455535192368478,0.1455535192368478
2020-11-10 19:47:00,0.15982824699263562,0.15982824699263562
2020-11-10 19:48:00,0.17876169370930314,0.17876169370930314
2020-11-10 19:49:00,0.18893991313791414,0.18893991313791414
2020-11-10 19:50:00,0.2022956718052712,0.2022956718052712
2020-11-10 19:51:00,0.22179584675523456,0.22179584675523456
2020-11-10 19:52:00,0.2361292167207468,0.2361292167207468
2020-11-10 19:53:00,0.2534240383005253,0.2534240383005253
2020-11-10 19:54:00,0.2655756209482293,0.2655756209482293
2020-11-10 19:55:00,0.27870885276962376,0.27870885276962376
2020-11-10 19:56:00,0.29187395050939385,0.29187395050939385
2020-11-10 19:57:00,0.298896452263944,0.298896452263944
2020-11-10 19:58:00,0.3129740628620436,0.3129740628620436
2020-11-10 19:59:00,0.33113658416125624,0.33113658416125624
2020-11-10 20:00:00,0.3383561231386177,0.3383561231386177
2020-11-10 20:01:00,0.35674228513911604,0.35674228513911604
2020-11-10 20:02:00,0.3719470519078365,0.3719470519078365
2020-11-10 20:03:00,0.3868417954096793,0.3868417954096793
2020-11-10 20:04:00,0.3963327461016375,0.3963327461016375
2020-11-10 20:05:00,0.40917912562267533,0.40917912562267533
2020-11-10 20:06:00,0.4173002805108548,0.4173002805108548
2020-11-10 20:07:00,0.4319547773243158,0.4319547773243158
2020-11-10 20:08:00,0.44307425633130415,0.44307425633130415
2020-11-10 20:09:00,0.46219080321888,0.46219080321888
2020-11-10 20:10:00,0.4750651332954805,0.4750651332954805
2020-11-10 20:11:00,0.4977571165293019,0.4977571165293019
2020-11-10 20:12:00,0.5166583614200959,0.5166583614200959
2020-11-10 20:13:00,0.5338831537996123,0.5338831537996123
2020-11-10 20:14:00,0.5384953635020493,0.5384953635020493
2020-11-10 20:15:00,0.5445240367988056,0.5445240367988056
2020-11-10 20:16:00,0.556234547163578,0.556234547163578
2020-11-10 20:17:00,0.5737049935260681,0.5737049935260681
2020-11-10 20:18:00,0.5836656069217031,0.5836656069217031
2020-11-10 20:19:00,0.5973821300404617,0.5973821300404617
2020-11-10 20:20:00,0.6098247990125957,0.6098247990125957
2020-11-10 20:21:00,0.6205956203863782,0.6205956203863782
2020-11-10 20:22:00,0.6277570931523523,0.6277570931523523
2020-11-10 20:23:00,0.6337088330481456,0.6337088330481456
2020-11-10 20:24:00,0.6427141386506061,0.6427141386506061
2020-11-10 20:25:00,0.6507470298540243,0.6507470298540243
2020-11-10 20:26:00,0.6612049261406147,0.6612049261406147
2020-11-10 20:27:00,0.6691963884093436,0.6691963884093436
2020-11-10 20:28:00,0.6730806347601679,0.6730806347601679
2020-11-10 20:29:00,0.6854093803800573,0.6854093803800573
2020-11-10 20:30:00,0.6941305978873102,0.6941305978873102
2020-11-10 20:31:00,0.7138915831383887,0.7138915831383887
2020-11-10 20:32:00,0.7166261898155896,0.7166261898155896
2020-11-10 20:33:00,0.7295667619951255,0.7295667619951255
2020-11-10 20:34:00,0.7359983284752039,0.7359983284752039
2020-11-10 20:35:00,0.7552600822933646,0.7552600822933646
2020-11-10 20:36:00,0.7574982165671948,0.7574982165671948
2020-11-10 20:37:00,0.7631169783960723,0.7631169783960723
2020-11-10 20:38:00,0.7667676041213868,0.7667676041213868
2020-11-10 20:39:00,0.7755247214858192,0.7755247214858192
